crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1470,9,health,126,10.585160818713451,1703554574422926800
1470,12,education,126,10.585160818713451,1703554574422926800
1470,5,Agriculture,126,10.585160818713451,1703554574422926800
1470,5,technology,126,10.585160818713451,1703554574422926800
1470,2,transport,126,10.585160818713451,1703554574422926800
1470,37,climate_environment,126,10.585160818713451,1703554574422926800
1470,44,finance,126,10.585160818713451,1703554574422926800
1480,9,health,126,10.585160818713451,1703554585035490341
1480,12,education,126,10.585160818713451,1703554585035490341
1480,5,Agriculture,126,10.585160818713451,1703554585035490341
1480,5,technology,126,10.585160818713451,1703554585035490341
1480,2,transport,126,10.585160818713451,1703554585035490341
1480,37,climate_environment,126,10.585160818713451,1703554585035490341
1480,44,finance,126,10.585160818713451,1703554585035490341
1490,11,health,126,10.40430790960452,1703554594580580331
1490,12,education,126,10.40430790960452,1703554594580580331
1490,5,Agriculture,126,10.40430790960452,1703554594580580331
1490,5,technology,126,10.40430790960452,1703554594580580331
1490,2,transport,126,10.40430790960452,1703554594580580331
1490,39,climate_environment,126,10.40430790960452,1703554594580580331
1490,44,finance,126,10.40430790960452,1703554594580580331
1500,11,health,126,10.40430790960452,1703554604322246876
1500,12,education,126,10.40430790960452,1703554604322246876
1500,5,Agriculture,126,10.40430790960452,1703554604322246876
1500,5,technology,126,10.40430790960452,1703554604322246876
1500,2,transport,126,10.40430790960452,1703554604322246876
1500,39,climate_environment,126,10.40430790960452,1703554604322246876
1500,44,finance,126,10.40430790960452,1703554604322246876
1510,11,health,126,10.493347338935575,1703554613382312114
1510,12,education,126,10.493347338935575,1703554613382312114
1510,6,Agriculture,126,10.493347338935575,1703554613382312114
1510,5,technology,126,10.493347338935575,1703554613382312114
1510,2,transport,126,10.493347338935575,1703554613382312114
1510,39,climate_environment,126,10.493347338935575,1703554613382312114
1510,44,finance,126,10.493347338935575,1703554613382312114
1520,12,health,126,10.489236111111113,1703554622079895102
1520,12,education,126,10.489236111111113,1703554622079895102
1520,6,Agriculture,126,10.489236111111113,1703554622079895102
1520,5,technology,126,10.489236111111113,1703554622079895102
1520,2,transport,126,10.489236111111113,1703554622079895102
1520,39,climate_environment,126,10.489236111111113,1703554622079895102
1520,44,finance,126,10.489236111111113,1703554622079895102
1530,13,health,126,10.407445355191259,1703554635573606373
1530,12,education,126,10.407445355191259,1703554635573606373
1530,6,Agriculture,126,10.407445355191259,1703554635573606373
1530,6,technology,126,10.407445355191259,1703554635573606373
1530,2,transport,126,10.407445355191259,1703554635573606373
1530,39,climate_environment,126,10.407445355191259,1703554635573606373
1530,44,finance,126,10.407445355191259,1703554635573606373
1540,13,health,126,10.29603494623656,1703554656762566253
1540,12,education,126,10.29603494623656,1703554656762566253
1540,7,Agriculture,126,10.29603494623656,1703554656762566253
1540,6,technology,126,10.29603494623656,1703554656762566253
1540,2,transport,126,10.29603494623656,1703554656762566253
1540,40,climate_environment,126,10.29603494623656,1703554656762566253
1540,44,finance,126,10.29603494623656,1703554656762566253
